Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Authentication,Chrome 95.0.4638.54,,,2021-10-30 16:53:49,2021-10-30 16:54:54,1m - 5.615s,FAILED
,,,,,,,
Test Cases/Sign Up Brick - Failed,Chrome 95.0.4638.54,,,2021-10-30 16:53:49,2021-10-30 16:54:13,23.558s,PASSED
"openBrowser("""")",Chrome 95.0.4638.54,,,2021-10-30 16:53:50,2021-10-30 16:53:53,3.185s,PASSED
navigateToUrl(url),Chrome 95.0.4638.54,,,2021-10-30 16:53:53,2021-10-30 16:53:59,6.140s,PASSED
"click(findTestObject(""Sign Up Page - Brick/registerBtn""))",Chrome 95.0.4638.54,,,2021-10-30 16:53:59,2021-10-30 16:53:59,0.582s,PASSED
"verifyElementVisible(findTestObject(""Sign Up Page - Brick/errorFirstName""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 16:53:59,2021-10-30 16:54:00,0.536s,PASSED
"verifyElementVisible(findTestObject(""Sign Up Page - Brick/errorLastName""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 16:54:00,2021-10-30 16:54:00,0.494s,PASSED
"verifyElementVisible(findTestObject(""Sign Up Page - Brick/errorEmail""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 16:54:00,2021-10-30 16:54:01,0.388s,PASSED
"verifyElementVisible(findTestObject(""Sign Up Page - Brick/errorPass""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 16:54:01,2021-10-30 16:54:01,0.377s,PASSED
"verifyElementVisible(findTestObject(""Sign Up Page - Brick/errorConfirmPass""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 16:54:01,2021-10-30 16:54:02,0.376s,PASSED
"setText(findTestObject(""Sign Up Page - Brick/firstNameField""), ""aisyah"")",Chrome 95.0.4638.54,,,2021-10-30 16:54:02,2021-10-30 16:54:02,0.754s,PASSED
"setText(findTestObject(""Sign Up Page - Brick/lastNameField""), ""syahidah"")",Chrome 95.0.4638.54,,,2021-10-30 16:54:02,2021-10-30 16:54:03,1.011s,PASSED
"setText(findTestObject(""Sign Up Page - Brick/emailField""), ""aisyah87$%@gmail.com"")",Chrome 95.0.4638.54,,,2021-10-30 16:54:03,2021-10-30 16:54:04,0.920s,PASSED
"click(findTestObject(""Sign Up Page - Brick/errorEmail""))",Chrome 95.0.4638.54,,,2021-10-30 16:54:04,2021-10-30 16:54:05,0.510s,PASSED
"setText(findTestObject(""Sign Up Page - Brick/emailField""), ""aisyah@gmail.c"")",Chrome 95.0.4638.54,,,2021-10-30 16:54:05,2021-10-30 16:54:06,1.049s,PASSED
"click(findTestObject(""Sign Up Page - Brick/errorEmail""))",Chrome 95.0.4638.54,,,2021-10-30 16:54:06,2021-10-30 16:54:06,0.479s,PASSED
"setText(findTestObject(""Sign Up Page - Brick/emailField""), ""aisyah@gmail.com"")",Chrome 95.0.4638.54,,,2021-10-30 16:54:06,2021-10-30 16:54:07,1.023s,PASSED
