Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Authentication,Chrome 95.0.4638.54,,,2021-10-30 17:36:25,2021-10-30 17:37:37,1m - 12.709s,PASSED
,,,,,,,
Test Cases/Sign Up Brick - Failed,Chrome 95.0.4638.54,,,2021-10-30 17:36:25,2021-10-30 17:36:46,21.596s,PASSED
"openBrowser("""")",Chrome 95.0.4638.54,,,2021-10-30 17:36:25,2021-10-30 17:36:29,4.007s,PASSED
navigateToUrl(url),Chrome 95.0.4638.54,,,2021-10-30 17:36:29,2021-10-30 17:36:33,3.911s,PASSED
"click(findTestObject(""Sign Up Page - Brick/registerBtn""))",Chrome 95.0.4638.54,,,2021-10-30 17:36:33,2021-10-30 17:36:34,0.542s,PASSED
"verifyElementVisible(findTestObject(""Sign Up Page - Brick/errorFirstName""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 17:36:34,2021-10-30 17:36:34,0.569s,PASSED
"verifyElementVisible(findTestObject(""Sign Up Page - Brick/errorLastName""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 17:36:34,2021-10-30 17:36:35,0.371s,PASSED
"verifyElementVisible(findTestObject(""Sign Up Page - Brick/errorEmail""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 17:36:35,2021-10-30 17:36:35,0.386s,PASSED
"verifyElementVisible(findTestObject(""Sign Up Page - Brick/errorPass""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 17:36:35,2021-10-30 17:36:36,0.377s,PASSED
"verifyElementVisible(findTestObject(""Sign Up Page - Brick/errorConfirmPass""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 17:36:36,2021-10-30 17:36:36,0.361s,PASSED
"setText(findTestObject(""Sign Up Page - Brick/firstNameField""), ""aisyah"")",Chrome 95.0.4638.54,,,2021-10-30 17:36:36,2021-10-30 17:36:37,0.717s,PASSED
"setText(findTestObject(""Sign Up Page - Brick/lastNameField""), ""syahidah"")",Chrome 95.0.4638.54,,,2021-10-30 17:36:37,2021-10-30 17:36:37,0.838s,PASSED
"setText(findTestObject(""Sign Up Page - Brick/emailField""), ""aisyah87$%@gmail.com"")",Chrome 95.0.4638.54,,,2021-10-30 17:36:37,2021-10-30 17:36:38,0.846s,PASSED
"click(findTestObject(""Sign Up Page - Brick/errorEmail""))",Chrome 95.0.4638.54,,,2021-10-30 17:36:38,2021-10-30 17:36:39,0.510s,PASSED
"setText(findTestObject(""Sign Up Page - Brick/emailField""), ""aisyah@gmail.c"")",Chrome 95.0.4638.54,,,2021-10-30 17:36:39,2021-10-30 17:36:40,1.032s,PASSED
"click(findTestObject(""Sign Up Page - Brick/errorEmail""))",Chrome 95.0.4638.54,,,2021-10-30 17:36:40,2021-10-30 17:36:40,0.475s,PASSED
"setText(findTestObject(""Sign Up Page - Brick/emailField""), ""aisyah@gmail.com"")",Chrome 95.0.4638.54,,,2021-10-30 17:36:40,2021-10-30 17:36:41,1.016s,PASSED
"setText(findTestObject(""Sign Up Page - Brick/phoneNumberField""), ""+6282643767"")",Chrome 95.0.4638.54,,,2021-10-30 17:36:41,2021-10-30 17:36:42,0.824s,PASSED
"setText(findTestObject(""Sign Up Page - Brick/addressField""), ""sawangan"")",Chrome 95.0.4638.54,,,2021-10-30 17:36:42,2021-10-30 17:36:43,0.715s,PASSED
"setEncryptedText(findTestObject(""Sign Up Page - Brick/passField""), ""NOZHw6sL/1I="")",Chrome 95.0.4638.54,,,2021-10-30 17:36:43,2021-10-30 17:36:43,0.516s,PASSED
"verifyElementVisible(findTestObject(""Sign Up Page - Brick/errorPass""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 17:36:43,2021-10-30 17:36:44,0.461s,PASSED
"setEncryptedText(findTestObject(""Sign Up Page - Brick/passField""), ""8SQVv/p9jVScEs4/2CZsLw=="")",Chrome 95.0.4638.54,,,2021-10-30 17:36:44,2021-10-30 17:36:44,0.415s,PASSED
"setEncryptedText(findTestObject(""Sign Up Page - Brick/confirmPassField""), ""NOZHw6sL/1I="")",Chrome 95.0.4638.54,,,2021-10-30 17:36:44,2021-10-30 17:36:45,0.543s,PASSED
"click(findTestObject(""Sign Up Page - Brick/registerBtn""))",Chrome 95.0.4638.54,,,2021-10-30 17:36:45,2021-10-30 17:36:45,0.494s,PASSED
"verifyElementVisible(findTestObject(""Sign Up Page - Brick/errorConfirmPass""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 17:36:45,2021-10-30 17:36:46,0.487s,PASSED
closeBrowser(),Chrome 95.0.4638.54,,,2021-10-30 17:36:46,2021-10-30 17:36:46,0.679s,PASSED
,,,,,,,
Test Cases/Sign Up Brick - Success,Chrome 95.0.4638.54,,,2021-10-30 17:36:47,2021-10-30 17:37:00,13.216s,PASSED
